art_id,entity_text,doc_id,similarity,match_type,type_of_relation
3A2C8488_79,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
3A2C8488_98,Reglamento de Construcciones para el Distrito Federal,44022C97,1.0,name,mencion_ley_oficial
3A2C8488_148,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
3A2C8488_154,Ley para la Reconstruccion Integral de la Ciudad de Mexico,D6247448,1.0,name,mencion_ley_oficial
3A2C8488_203,Ley General de Educacion,B9E77F26,1.0,name,mencion_ley_oficial
3A2C8488_208,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
3A2C8488_210,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
3A2C8488_210,Ley del Instituto de Verificacion Administrativa de la Ciudad de Mexico,2911478C,1.0,name,mencion_ley_oficial
3A2C8488_210,Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,1.0,name,mencion_ley_oficial
3A2C8488_213,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
3A2C8488_213,Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,1.0,name,mencion_ley_oficial
3A2C8488_236,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
3A2C8488_237,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
7259296D_1,Ley de Responsabilidad Patrimonial del Distrito Federal,A38C6416,1.0,name,mencion_ley_oficial
7259296D_2,Ley de Responsabilidad Patrimonial del Distrito Federal,A38C6416,1.0,name,mencion_ley_oficial
7259296D_2,Ley de Responsabilidad Patrimonial del Distrito Federal,A38C6416,1.0,name,mencion_ley_oficial
7259296D_2,Reglamento de la Ley de Responsabilidad Patrimonial del Distrito Federal,7259296D,1.0,name,mencion_ley_oficial
C371528F_46,Ley organica del Poder Judicial de la Ciudad de Mexico,702EE237,1.0,name,mencion_ley_oficial
EDEA48F4_2,Codigo Penal para el Distrito Federal,FC3F5431,1.0,name,mencion_ley_oficial
C57B66D6_2,Codigo Nacional de Procedimientos Civiles y Familiares,8D851976,1.0,name,mencion_ley_oficial
C57B66D6_2,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
C57B66D6_2,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
C57B66D6_2,Ley del Notariado para la Ciudad de Mexico,C57B66D6,1.0,name,mencion_ley_oficial
C57B66D6_2,Ley del Notariado para la Ciudad de Mexico,C57B66D6,1.0,name,mencion_ley_oficial
C57B66D6_56,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_56,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_57,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_57,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_64,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_64,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_66,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
C57B66D6_66,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
