art_id,entity_id,type_of_relation
69638137_3,919DEC37,mencion_entidad_gubernamental_oficial
69638137_3,919DEC37,mencion_entidad_gubernamental_oficial
69638137_6,F7063D84,mencion_entidad_gubernamental_oficial
69638137_6,B5B561BB,mencion_entidad_gubernamental_oficial
69638137_6,E9B9C5D2,mencion_entidad_gubernamental_oficial
69638137_7,E9B9C5D2,mencion_entidad_gubernamental_oficial
69638137_10,919DEC37,mencion_entidad_gubernamental_oficial
69638137_20,B5B561BB,mencion_entidad_gubernamental_oficial
69638137_52,E9B9C5D2,mencion_entidad_gubernamental_oficial
E0644EAF_10,14480394,mencion_entidad_gubernamental_oficial
E0644EAF_10,14480394,mencion_entidad_gubernamental_oficial
E0644EAF_54,67107978,mencion_entidad_gubernamental_oficial
37159EFC_4,32A26AD3,mencion_entidad_gubernamental_oficial
37159EFC_6,32A26AD3,mencion_entidad_gubernamental_oficial
37159EFC_7,32A26AD3,mencion_entidad_gubernamental_oficial
37159EFC_8,32A26AD3,mencion_entidad_gubernamental_oficial
37159EFC_8,3A2A7572,mencion_entidad_gubernamental_oficial
37159EFC_12,32A26AD3,mencion_entidad_gubernamental_oficial
37159EFC_14,32A26AD3,mencion_entidad_gubernamental_oficial
37159EFC_14,919DEC37,mencion_entidad_gubernamental_oficial
37159EFC_14,FBE3F640,mencion_entidad_gubernamental_oficial
37159EFC_14,6EA49C6C,mencion_entidad_gubernamental_oficial
37159EFC_14,E2EEE4C1,mencion_entidad_gubernamental_oficial
