art_id,type_of_relation,doc_id
3F66D749_54,art_parte_doc,3F66D749
3F66D749_55,art_parte_doc,3F66D749
3F66D749_56,art_parte_doc,3F66D749
3F66D749_57,art_parte_doc,3F66D749
3F66D749_58,art_parte_doc,3F66D749
3F66D749_59,art_parte_doc,3F66D749
3F66D749_60,art_parte_doc,3F66D749
3F66D749_61,art_parte_doc,3F66D749
3F66D749_62,art_parte_doc,3F66D749
3F66D749_63,art_parte_doc,3F66D749
3F66D749_64,art_parte_doc,3F66D749
3F66D749_65,art_parte_doc,3F66D749
3F66D749_66,art_parte_doc,3F66D749
3F66D749_67,art_parte_doc,3F66D749
3F66D749_68,art_parte_doc,3F66D749
3F66D749_69,art_parte_doc,3F66D749
3F66D749_70,art_parte_doc,3F66D749
3F66D749_71,art_parte_doc,3F66D749
3F66D749_72,art_parte_doc,3F66D749
3F66D749_73,art_parte_doc,3F66D749
3F66D749_74,art_parte_doc,3F66D749
3F66D749_75,art_parte_doc,3F66D749
3F66D749_76,art_parte_doc,3F66D749
3F66D749_77,art_parte_doc,3F66D749
3F66D749_78,art_parte_doc,3F66D749
3F66D749_79,art_parte_doc,3F66D749
3F66D749_80,art_parte_doc,3F66D749
3F66D749_81,art_parte_doc,3F66D749
3F66D749_82,art_parte_doc,3F66D749
3F66D749_83,art_parte_doc,3F66D749
3F66D749_84,art_parte_doc,3F66D749
3F66D749_85,art_parte_doc,3F66D749
3F66D749_86,art_parte_doc,3F66D749
3F66D749_87,art_parte_doc,3F66D749
3F66D749_88,art_parte_doc,3F66D749
3F66D749_89,art_parte_doc,3F66D749
3F66D749_90,art_parte_doc,3F66D749
3F66D749_91,art_parte_doc,3F66D749
3F66D749_92,art_parte_doc,3F66D749
3F66D749_93,art_parte_doc,3F66D749
3F66D749_94,art_parte_doc,3F66D749
3F66D749_95,art_parte_doc,3F66D749
3F66D749_96,art_parte_doc,3F66D749
3F66D749_97,art_parte_doc,3F66D749
3F66D749_98,art_parte_doc,3F66D749
3F66D749_99,art_parte_doc,3F66D749
3F66D749_100,art_parte_doc,3F66D749
3F66D749_101,art_parte_doc,3F66D749
3F66D749_101BIS,art_parte_doc,3F66D749
3F66D749_101TER,art_parte_doc,3F66D749
3F66D749_101QUATER,art_parte_doc,3F66D749
3F66D749_102,art_parte_doc,3F66D749
3F66D749_103,art_parte_doc,3F66D749
3F66D749_104,art_parte_doc,3F66D749
3F66D749_105,art_parte_doc,3F66D749
3F66D749_106,art_parte_doc,3F66D749
3F66D749_107,art_parte_doc,3F66D749
3F66D749_108,art_parte_doc,3F66D749
3F66D749_109,art_parte_doc,3F66D749
3F66D749_110,art_parte_doc,3F66D749
3F66D749_111,art_parte_doc,3F66D749
3F66D749_112,art_parte_doc,3F66D749
3F66D749_113,art_parte_doc,3F66D749
3F66D749_114,art_parte_doc,3F66D749
3F66D749_114BIS,art_parte_doc,3F66D749
3F66D749_115,art_parte_doc,3F66D749
3F66D749_116,art_parte_doc,3F66D749
3F66D749_117,art_parte_doc,3F66D749
3F66D749_118,art_parte_doc,3F66D749
3F66D749_119,art_parte_doc,3F66D749
3F66D749_120,art_parte_doc,3F66D749
3F66D749_121,art_parte_doc,3F66D749
3F66D749_122,art_parte_doc,3F66D749
3F66D749_123,art_parte_doc,3F66D749
3F66D749_124,art_parte_doc,3F66D749
3F66D749_125,art_parte_doc,3F66D749
3F66D749_126,art_parte_doc,3F66D749
3F66D749_127,art_parte_doc,3F66D749
3F66D749_128,art_parte_doc,3F66D749
3F66D749_129,art_parte_doc,3F66D749
3F66D749_130,art_parte_doc,3F66D749
3F66D749_131,art_parte_doc,3F66D749
3F66D749_132,art_parte_doc,3F66D749
3F66D749_133,art_parte_doc,3F66D749
3F66D749_134,art_parte_doc,3F66D749
3F66D749_135,art_parte_doc,3F66D749
3F66D749_136,art_parte_doc,3F66D749
3F66D749_137,art_parte_doc,3F66D749
3F66D749_138,art_parte_doc,3F66D749
3F66D749_139,art_parte_doc,3F66D749
3F66D749_140,art_parte_doc,3F66D749
3F66D749_141,art_parte_doc,3F66D749
3F66D749_142,art_parte_doc,3F66D749
3F66D749_143,art_parte_doc,3F66D749
3F66D749_144,art_parte_doc,3F66D749
3F66D749_145,art_parte_doc,3F66D749
3F66D749_146,art_parte_doc,3F66D749
3F66D749_147,art_parte_doc,3F66D749
3F66D749_148,art_parte_doc,3F66D749
3F66D749_149,art_parte_doc,3F66D749
3F66D749_150,art_parte_doc,3F66D749
3F66D749_151,art_parte_doc,3F66D749
3F66D749_152,art_parte_doc,3F66D749
3F66D749_153,art_parte_doc,3F66D749
3F66D749_154,art_parte_doc,3F66D749
3F66D749_155,art_parte_doc,3F66D749
3F66D749_156,art_parte_doc,3F66D749
3F66D749_157,art_parte_doc,3F66D749
3F66D749_158,art_parte_doc,3F66D749
3F66D749_159,art_parte_doc,3F66D749
3F66D749_160,art_parte_doc,3F66D749
3F66D749_161,art_parte_doc,3F66D749
3F66D749_162,art_parte_doc,3F66D749
3F66D749_163,art_parte_doc,3F66D749
3F66D749_164,art_parte_doc,3F66D749
3F66D749_165,art_parte_doc,3F66D749
3F66D749_166,art_parte_doc,3F66D749
3F66D749_167,art_parte_doc,3F66D749
3F66D749_168,art_parte_doc,3F66D749
3F66D749_169,art_parte_doc,3F66D749
3F66D749_170,art_parte_doc,3F66D749
3F66D749_171,art_parte_doc,3F66D749
3F66D749_172,art_parte_doc,3F66D749
3F66D749_173,art_parte_doc,3F66D749
3F66D749_174,art_parte_doc,3F66D749
3F66D749_175,art_parte_doc,3F66D749
3F66D749_176,art_parte_doc,3F66D749
3F66D749_177,art_parte_doc,3F66D749
3F66D749_178,art_parte_doc,3F66D749
3F66D749_179,art_parte_doc,3F66D749
3F66D749_180,art_parte_doc,3F66D749
3F66D749_181,art_parte_doc,3F66D749
3F66D749_182,art_parte_doc,3F66D749
3F66D749_183,art_parte_doc,3F66D749
3F66D749_184,art_parte_doc,3F66D749
